Open,Close,High,Low,Volume,Date
0,2133,2161,2132.85,2,437.00,06/29/18
0,2155,2167.5,2149.37,1,169.00,06/28/18
0,2176,2197.25,2162.15,1,383.00,06/27/18
0,2157.5,2166.25,2136.5,2,326.00,06/26/18
0,2155,2179.75,2154.85,752.00,06/25/18
0,2175,2186.25,2165.15,2,738.00,06/22/18
0,2179,2179.15,2163,1,268.00,06/21/18
0,2166,2189.75,2165,1,202.00,06/20/18
0,2171,2220.25,2170,2,310.00,06/19/18
0,2219.5,2223.73,2211.83,2,381.00,06/18/18
0,2204,2241,2203.85,3,114.00,06/15/18
0,2256,2273.25,2255.85,3,645.00,06/14/18
0,2275,2286,2274.85,1,531.00,06/13/18
0,2302,2320,2301.85,997.00,06/12/18
0,2301,2312,2293,1,146.00,06/11/18
0,2299,2318.95,2296.9,980.00,06/08/18
0,2312,2351.05,2282,1,408.00,06/07/18
0,2345,2345.15,2316.85,1,570.00,06/06/18
0,2312,2329,2310,1,992.00,06/05/18
0,2314,2342.15,2293.75,2,206.00,06/04/18
0,2305,2305.15,2270.35,1,047.00,06/01/18
0,2292,2294.68,2267.75,1,514.00,05/31/18
0,2270,2274,2260,1,725.00,05/30/18
0,2263,2311.26,2252,1,606.00,05/25/18
0,2281,2284.65,2266.1,1,736.00,05/24/18
0,2270,2270.15,2240,1,544.00,05/23/18
0,2270,2281.98,2266.4,1,896.00,05/22/18
0,2280,2280.15,2267.73,923.00,05/21/18
0,2270,2301.06,2256.2,1,648.00,05/18/18
0,2293,2325.25,2259.45,910.00,05/17/18
0,2315.5,2333.15,2312,2,047.00,05/16/18
0,2327,2328,2285.15,2,487.00,05/15/18
0,2319,2319.15,2271.85,1,258.00,05/14/18
0,2288,2304.75,2267.1,1,429.00,05/11/18
0,2335,2351.75,2318,1,752.00,05/10/18
0,2366,2368,2280.25,4,423.00,05/09/18
0,2350,2350.15,2281,1,475.00,05/04/18
0,2269,2350,2268.85,1,212.00,05/03/18
0,2321.5,2322,2252.4,4,572.00,05/02/18
0,2260,2262.5,2242.69,3,688.00,05/01/18
0,2255,2255.15,2217,2,180.00,04/30/18
0,2223,2275.75,2222.85,1,242.00,04/27/18
0,2275,2281.85,2201.76,2,340.00,04/26/18
0,2245,2269,2192.11,1,409.00,04/25/18
0,2227,2278.85,2203.5,2,514.00,04/24/18
0,2295,2510,2275.22,2,178.00,04/23/18
0,2469,2513.03,2421.25,1,736.00,04/20/18
0,2485,2644.15,2446.28,3,516.00,04/19/18
0,2537,2537.2,2396.25,3,340.00,04/18/18
0,2405,2426.5,2371.5,7,136.00,04/17/18
0,2399,2399.2,2286.25,2,292.00,04/16/18
0,2285,2325.65,2284.85,895.00,04/13/18
0,2325,2325.15,2206.31,2,375.00,04/12/18
0,2250,2275.25,2226.35,5,403.00,04/11/18
0,2201,2229.35,2130.75,3,843.00,04/10/18
0,2139,2142.25,2060.75,2,264.00,04/09/18
0,2042,2047,1987.35,4,823.00,04/06/18
0,2009,2018.25,1983.54,2,417.00,04/05/18
0,1991,1997,1984,4,000.00,04/04/18
0,2004.5,2014.69,1996.8,3,566.00,03/29/18
0,2027,2036.96,2018.75,2,536.00,03/28/18
0,2045,2060.95,2042.61,2,079.00,03/27/18
0,2052,2059.5,2047,1,479.00,03/26/18
0,2050.5,2074.75,2049.93,2,240.00,03/23/18
0,2075,2103.75,2074.85,1,383.00,03/22/18
0,2081,2085.25,2062.75,1,742.00,03/21/18
0,2076,2093.5,2073.35,1,663.00,03/20/18
0,2088,2093.25,2074.06,736.00,03/19/18
0,2085,2090.53,2082,2,065.00,03/16/18
0,2085,2093.25,2071.95,1,919.00,03/15/18
0,2089,2124.86,2088.35,1,571.00,03/14/18
0,2103,2105.25,2095,2,711.00,03/13/18
0,2100,2100,2100,60.00,03/12/18
0,2120,2130.89,2095.43,1,863.00,03/09/18
